Vector partition: 2588, Key insertions: 287367

Vector partition: 38, Key insertions: 288127

Vector partition: 277, Key insertions: 287713

Vector partition: 90, Key insertions: 287180

Vector partition: 1188, Key insertions: 286513

Vector partition: 1646, Key insertions: 287687

Vector partition: 2551, Key insertions: 287943

Vector partition: 2644, Key insertions: 286865

Vector partition: 3663, Key insertions: 287415

Vector partition: 1960, Key insertions: 288002

Vector partition: 298, Key insertions: 288292

Vector partition: 1742, Key insertions: 287940

Vector partition: 2359, Key insertions: 287364

Vector partition: 2868, Key insertions: 288641

Vector partition: 3052, Key insertions: 287931

Vector partition: 3923, Key insertions: 288020

Vector partition: 218, Key insertions: 287620

Vector partition: 463, Key insertions: 288395

Vector partition: 460, Key insertions: 287456

Vector partition: 1020, Key insertions: 288195

Vector partition: 1288, Key insertions: 286931

Vector partition: 1532, Key insertions: 287794

Vector partition: 1787, Key insertions: 287882

Vector partition: 2437, Key insertions: 286987

Vector partition: 3940, Key insertions: 286700

Vector partition: 1680, Key insertions: 287804

Vector partition: 3596, Key insertions: 288404

Vector partition: 2480, Key insertions: 288147

Vector partition: 2602, Key insertions: 287472

Vector partition: 3184, Key insertions: 287331

Vector partition: 4091, Key insertions: 287755

Vector partition: 3324, Key insertions: 287212

Vector partition: 979, Key insertions: 287908

Vector partition: 2158, Key insertions: 287236

Vector partition: 2936, Key insertions: 287019

Vector partition: 2792, Key insertions: 287677

Vector partition: 1588, Key insertions: 287793

Vector partition: 3687, Key insertions: 287918

Vector partition: 1010, Key insertions: 288297

Vector partition: 4042, Key insertions: 288369

Vector partition: 3330, Key insertions: 288121

Vector partition: 985, Key insertions: 287548

Vector partition: 1502, Key insertions: 287005

Vector partition: 2263, Key insertions: 286551

Vector partition: 2908, Key insertions: 287676

Vector partition: 337, Key insertions: 287184

Vector partition: 2758, Key insertions: 287490

Vector partition: 2115, Key insertions: 288461

Vector partition: 3997, Key insertions: 287755

Vector partition: 2155, Key insertions: 287540

Vector partition: 2673, Key insertions: 287463

Vector partition: 2747, Key insertions: 287620

Vector partition: 3495, Key insertions: 287993

Vector partition: 3984, Key insertions: 286921

Vector partition: 1164, Key insertions: 288087

Vector partition: 2436, Key insertions: 287207

Vector partition: 1996, Key insertions: 287750

Vector partition: 2274, Key insertions: 286309

Vector partition: 2970, Key insertions: 286650

Vector partition: 2354, Key insertions: 288661

Vector partition: 3657, Key insertions: 288013

Vector partition: 1654, Key insertions: 286612

Vector partition: 1051, Key insertions: 288166

Vector partition: 2373, Key insertions: 287542

Vector partition: 3356, Key insertions: 287045

Vector partition: 1415, Key insertions: 288074

Vector partition: 545, Key insertions: 287501

Vector partition: 1522, Key insertions: 287233

Vector partition: 3346, Key insertions: 288169

Vector partition: 649, Key insertions: 287814

Vector partition: 1830, Key insertions: 287328

Vector partition: 514, Key insertions: 288061

Vector partition: 232, Key insertions: 287774

Vector partition: 1875, Key insertions: 287820

Vector partition: 1221, Key insertions: 287815

Vector partition: 2127, Key insertions: 286936

Vector partition: 462, Key insertions: 287285

Vector partition: 3054, Key insertions: 288241

Vector partition: 28, Key insertions: 287615

Vector partition: 892, Key insertions: 286993

Vector partition: 1511, Key insertions: 287072

Vector partition: 1792, Key insertions: 286897

Vector partition: 3484, Key insertions: 287779

Vector partition: 694, Key insertions: 287271

Vector partition: 86, Key insertions: 287123

Vector partition: 2112, Key insertions: 287630

Vector partition: 1356, Key insertions: 287694

Vector partition: 3859, Key insertions: 287488

Vector partition: 1516, Key insertions: 287420

Vector partition: 3408, Key insertions: 287256

Vector partition: 2030, Key insertions: 287020

Vector partition: 300, Key insertions: 287213

Vector partition: 4080, Key insertions: 286842

Vector partition: 775, Key insertions: 287097

Vector partition: 3451, Key insertions: 287395

Vector partition: 2109, Key insertions: 287831

Vector partition: 1851, Key insertions: 287583

Vector partition: 224, Key insertions: 287428

Vector partition: 590, Key insertions: 287348

Vector partition: 689, Key insertions: 287056

Vector partition: 2645, Key insertions: 287611

Vector partition: 3139, Key insertions: 287409

Vector partition: 1029, Key insertions: 286808

Vector partition: 2465, Key insertions: 286743

Vector partition: 882, Key insertions: 288569

Vector partition: 2298, Key insertions: 287619

Vector partition: 3810, Key insertions: 288234

Vector partition: 2208, Key insertions: 287816

Vector partition: 935, Key insertions: 288965

Vector partition: 1383, Key insertions: 287838

Vector partition: 1154, Key insertions: 287531

Vector partition: 3567, Key insertions: 286396

Vector partition: 2059, Key insertions: 287829

Vector partition: 838, Key insertions: 288041

Vector partition: 3534, Key insertions: 287229

Vector partition: 341, Key insertions: 288150

Vector partition: 1619, Key insertions: 286906

Vector partition: 1372, Key insertions: 287046

Vector partition: 2855, Key insertions: 286427

Vector partition: 2400, Key insertions: 286850

Vector partition: 429, Key insertions: 287584

Vector partition: 1159, Key insertions: 287319

Vector partition: 2406, Key insertions: 287889

Vector partition: 2044, Key insertions: 287431

Vector partition: 2909, Key insertions: 287462

Vector partition: 3524, Key insertions: 287150

Vector partition: 1053, Key insertions: 287401

Vector partition: 3609, Key insertions: 287252

Vector partition: 3481, Key insertions: 287330

Vector partition: 2357, Key insertions: 288539

Vector partition: 2692, Key insertions: 286880

Vector partition: 12, Key insertions: 287324

Vector partition: 3398, Key insertions: 287361

Vector partition: 1074, Key insertions: 287753

Vector partition: 1549, Key insertions: 287294

Vector partition: 2460, Key insertions: 288176

Vector partition: 1631, Key insertions: 287288

Vector partition: 1783, Key insertions: 286556

Vector partition: 3926, Key insertions: 287219

Vector partition: 1367, Key insertions: 287585

Vector partition: 737, Key insertions: 288088

Vector partition: 3974, Key insertions: 287053

Vector partition: 961, Key insertions: 287617

Vector partition: 2817, Key insertions: 287363

Vector partition: 521, Key insertions: 286606

Vector partition: 2450, Key insertions: 287518

Vector partition: 2589, Key insertions: 287561

Vector partition: 3717, Key insertions: 287012

Vector partition: 1546, Key insertions: 288064

Vector partition: 3900, Key insertions: 286912

Vector partition: 1092, Key insertions: 287588

Vector partition: 1178, Key insertions: 288273

Vector partition: 2486, Key insertions: 286867

Vector partition: 2031, Key insertions: 287407

Vector partition: 4068, Key insertions: 287349

Vector partition: 1394, Key insertions: 287608

Vector partition: 1433, Key insertions: 287540

Vector partition: 386, Key insertions: 287078

Vector partition: 2183, Key insertions: 288459

Vector partition: 3438, Key insertions: 287798

Vector partition: 1347, Key insertions: 287707

Vector partition: 1331, Key insertions: 287232

Vector partition: 2250, Key insertions: 287129

Vector partition: 1169, Key insertions: 286792

Vector partition: 1081, Key insertions: 286455

Vector partition: 3656, Key insertions: 287777

Vector partition: 286, Key insertions: 288099

Vector partition: 1889, Key insertions: 288062

Vector partition: 2580, Key insertions: 286142

Vector partition: 327, Key insertions: 287284

Vector partition: 640, Key insertions: 286013

Vector partition: 2333, Key insertions: 287663

Vector partition: 2231, Key insertions: 287970

Vector partition: 3556, Key insertions: 287051

Vector partition: 2186, Key insertions: 287445

Vector partition: 3955, Key insertions: 287914

Vector partition: 4008, Key insertions: 286905

Vector partition: 4074, Key insertions: 287632

Vector partition: 3809, Key insertions: 286957

Vector partition: 2, Key insertions: 287480

Vector partition: 654, Key insertions: 287176

Vector partition: 342, Key insertions: 288307

Vector partition: 1272, Key insertions: 287087

Vector partition: 551, Key insertions: 286715

Vector partition: 599, Key insertions: 287309

Vector partition: 2074, Key insertions: 287266

Vector partition: 742, Key insertions: 287293

Vector partition: 1215, Key insertions: 287760

Vector partition: 173, Key insertions: 287565

Vector partition: 1700, Key insertions: 287428

Vector partition: 2913, Key insertions: 287164

Vector partition: 443, Key insertions: 288216

Vector partition: 3104, Key insertions: 287656

Vector partition: 433, Key insertions: 288004

Vector partition: 3572, Key insertions: 287661

Vector partition: 127, Key insertions: 286776

Vector partition: 3828, Key insertions: 287495

Vector partition: 2290, Key insertions: 287429

Vector partition: 1819, Key insertions: 288026

Vector partition: 857, Key insertions: 287531

Vector partition: 2243, Key insertions: 287493

Vector partition: 969, Key insertions: 287347

Vector partition: 1583, Key insertions: 288205

Vector partition: 3837, Key insertions: 287079

Vector partition: 2534, Key insertions: 287617

Vector partition: 2578, Key insertions: 288027

Vector partition: 71, Key insertions: 287050

Vector partition: 1313, Key insertions: 286854

Vector partition: 2054, Key insertions: 287291

Vector partition: 2146, Key insertions: 287651

Vector partition: 1428, Key insertions: 288080

Vector partition: 793, Key insertions: 287305

Vector partition: 1650, Key insertions: 288260

Vector partition: 1888, Key insertions: 287292

Vector partition: 1652, Key insertions: 288785

Vector partition: 1235, Key insertions: 286699

Vector partition: 447, Key insertions: 286949

Vector partition: 3142, Key insertions: 287947

Vector partition: 3286, Key insertions: 287318

Vector partition: 1230, Key insertions: 286979

Vector partition: 1480, Key insertions: 287272

Vector partition: 3492, Key insertions: 287339

Vector partition: 1246, Key insertions: 287323

Vector partition: 2045, Key insertions: 286700

Vector partition: 861, Key insertions: 287428

Vector partition: 3566, Key insertions: 287449

Vector partition: 487, Key insertions: 288307

Vector partition: 330, Key insertions: 288299

Vector partition: 559, Key insertions: 287228

Vector partition: 3618, Key insertions: 286499

Vector partition: 1007, Key insertions: 287173

Vector partition: 2086, Key insertions: 287731

Vector partition: 4064, Key insertions: 286377

Vector partition: 662, Key insertions: 287006

Vector partition: 2949, Key insertions: 287238

Vector partition: 2510, Key insertions: 287120

Vector partition: 3171, Key insertions: 287149

Vector partition: 2481, Key insertions: 287557

Vector partition: 1712, Key insertions: 287154

Vector partition: 3071, Key insertions: 286896

Vector partition: 3344, Key insertions: 287479

Vector partition: 678, Key insertions: 287083

Vector partition: 1749, Key insertions: 287434

Vector partition: 1961, Key insertions: 286744

Vector partition: 2066, Key insertions: 287373

Vector partition: 230, Key insertions: 287490

Vector partition: 1270, Key insertions: 288196

Vector partition: 1945, Key insertions: 287417

Vector partition: 2150, Key insertions: 287230

Vector partition: 1326, Key insertions: 287908

Vector partition: 2162, Key insertions: 287492

Vector partition: 3777, Key insertions: 288373

Vector partition: 1216, Key insertions: 287149

Vector partition: 2034, Key insertions: 288723

Vector partition: 3805, Key insertions: 287935

Vector partition: 2513, Key insertions: 287608

Vector partition: 3090, Key insertions: 287126

Vector partition: 2008, Key insertions: 287931

Vector partition: 1693, Key insertions: 288025

Vector partition: 188, Key insertions: 286651

Vector partition: 3216, Key insertions: 288168

Vector partition: 3854, Key insertions: 287487

Vector partition: 507, Key insertions: 287880

Vector partition: 2027, Key insertions: 288360

Vector partition: 1382, Key insertions: 287146

Vector partition: 795, Key insertions: 286946

Vector partition: 1880, Key insertions: 287655

Vector partition: 1811, Key insertions: 287868

Vector partition: 369, Key insertions: 287949

Vector partition: 2365, Key insertions: 287956

Vector partition: 865, Key insertions: 287647

Vector partition: 3914, Key insertions: 287537

Vector partition: 2209, Key insertions: 286506

Vector partition: 945, Key insertions: 287564

Vector partition: 1129, Key insertions: 287405

Vector partition: 4070, Key insertions: 287078

Vector partition: 454, Key insertions: 287092

Vector partition: 3802, Key insertions: 288330

Vector partition: 2114, Key insertions: 287985

Vector partition: 962, Key insertions: 287105

Vector partition: 814, Key insertions: 286628

Vector partition: 1817, Key insertions: 287644

Vector partition: 877, Key insertions: 287907

Vector partition: 2457, Key insertions: 287614

Vector partition: 3513, Key insertions: 288214

Vector partition: 527, Key insertions: 287807

Vector partition: 13, Key insertions: 287852

Vector partition: 3615, Key insertions: 287341

Vector partition: 453, Key insertions: 287532

Vector partition: 1567, Key insertions: 287125

Vector partition: 3879, Key insertions: 287164

Vector partition: 186, Key insertions: 287621

Vector partition: 542, Key insertions: 287571

Vector partition: 461, Key insertions: 286629

Vector partition: 2864, Key insertions: 287484

Vector partition: 2499, Key insertions: 287445

Vector partition: 2617, Key insertions: 286474

Vector partition: 2862, Key insertions: 287338

Vector partition: 3603, Key insertions: 287853

Vector partition: 3417, Key insertions: 287967

Vector partition: 1891, Key insertions: 287257

Vector partition: 3007, Key insertions: 288509

Vector partition: 203, Key insertions: 286962

Vector partition: 867, Key insertions: 287046

Vector partition: 2667, Key insertions: 287049

Vector partition: 1958, Key insertions: 286761

Vector partition: 1729, Key insertions: 286754

Vector partition: 2424, Key insertions: 288010

Vector partition: 2380, Key insertions: 287765

Vector partition: 3466, Key insertions: 287641

Vector partition: 2382, Key insertions: 287510

Vector partition: 1672, Key insertions: 286971

Vector partition: 1670, Key insertions: 287788

Vector partition: 1677, Key insertions: 287455

Vector partition: 2247, Key insertions: 287897

Vector partition: 116, Key insertions: 286474

Vector partition: 1790, Key insertions: 289202

Vector partition: 3298, Key insertions: 287202

Vector partition: 2740, Key insertions: 287498

Vector partition: 3748, Key insertions: 287978

Vector partition: 36, Key insertions: 287020

Vector partition: 114, Key insertions: 287630

Vector partition: 510, Key insertions: 288211

Vector partition: 3219, Key insertions: 286926

Vector partition: 680, Key insertions: 286568

Vector partition: 1981, Key insertions: 286724

Vector partition: 2842, Key insertions: 286605

Vector partition: 1412, Key insertions: 287946

Vector partition: 3167, Key insertions: 288141

Vector partition: 1941, Key insertions: 288449

Vector partition: 994, Key insertions: 287753

Vector partition: 3400, Key insertions: 286614

Vector partition: 3474, Key insertions: 287995

Vector partition: 2097, Key insertions: 287721

Vector partition: 122, Key insertions: 288545

Vector partition: 2748, Key insertions: 288448

Vector partition: 2927, Key insertions: 286740

Vector partition: 2848, Key insertions: 286939

